Comment,Designator,Footprint,LCSC
10K,"R15,R16,R17,R18,R20,R4,R5,R6",R_0402_1005Metric,C11702
100nF,"C15,C2,C5,C6,C8",C_0402_1005Metric,C1525
TPS63031DSK,U9,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,C15516
1uF,"C1,C10,C11,C12,C19,C20,C22,C28,C3,C4,C7,C9",C_0402_1005Metric,C15525
22pF,"C13,C14",C_0402_1005Metric,C1555
680K,R1,R_0402_1005Metric,C158991
150K,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22807
220K,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22961
GREEN,LED1,LED_0805_2012Metric,C2297
470K,"R10,R11",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23178
4.7uF,"C17,C27",C_0402_1005Metric,C23733
22,"R14,R2,R3,R7",R_0402_1005Metric,C25092
5k1,"R12,R13",R_0402_1005Metric,C25905
40MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2875582
BQ25611D,U1,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,C2892871
ESP32-S3,U2,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,C2913194
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2936185
10pF,"C16,C18",C_0402_1005Metric,C32949
Antenna_Shield,AE2,ipx,C496552
1.5 μH,"L1,L2",L_Cenker_CKCS3012,C75110
DIODE,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D7,D8,D9",D_SOD-123,C8598
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
1nH,L3,R_0402_1005Metric,C97981
Conn_01x10_Pin,J4,PinSocket_2x05_P1.27mm_Vertical,
TestPoint_Loop_D3.80mm_Drill2.8mm,HS8,TestPoint_Loop_D3.80mm_Drill2.8mm,
SWITCH_PUSH,SW61,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW50,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW21,SW_Cherry_MX_1.00u_PCB,
TestPoint_Loop_D3.80mm_Drill2.8mm,HS7,TestPoint_Loop_D3.80mm_Drill2.8mm,
Conn_01x10_Pin,J2,PinHeader_2x05_P2.54mm_Vertical,
SWITCH_PUSH,SW63,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW64,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW7,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW60,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW55,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW9,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW17,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW10,SW_Cherry_MX_1.00u_PCB,
TestPoint_Loop_D3.80mm_Drill2.8mm,HS2,TestPoint_Loop_D3.80mm_Drill2.8mm,
SWITCH_PUSH,SW51,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW65,SW_Cherry_MX_1.00u_PCB,
SWITCH_PUSH,SW38,SW_Cherry_MX_1.00u_PCB,
Conn_01x02,J1,D_T-1_P2.54mm_Vertical_AnodeUp,
