Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE2,Antenna_Shield,ipx,139.539446,-75.908364,270.0,bottom
C1,1uF,C_0402_1005Metric,155.084136,-67.3158,90.0,bottom
C10,10uF,C_0402_1005Metric,165.314136,-60.9158,90.0,bottom
C11,1uF,C_0402_1005Metric,151.084136,-82.8158,180.0,bottom
C12,10uF,C_0402_1005Metric,159.534136,-55.6158,0.0,bottom
C13,22pF,C_0402_1005Metric,150.006272,-62.5151,270.0,bottom
C14,22pF,C_0402_1005Metric,146.806272,-62.5151,270.0,bottom
C15,100nF,C_0402_1005Metric,134.584136,-83.5658,90.0,bottom
C16,10pF,C_0402_1005Metric,140.334136,-80.3158,270.0,bottom
C17,4.7uF,C_0402_1005Metric,155.934136,-57.8158,180.0,bottom
C18,10pF,C_0402_1005Metric,143.334136,-82.2958,0.0,bottom
C19,47nF,C_0402_1005Metric,166.534136,-57.6158,270.0,bottom
C2,100nF,C_0402_1005Metric,156.334136,-67.3158,90.0,bottom
C20,10uF,C_0402_1005Metric,161.534136,-53.6158,180.0,bottom
C22,10uF,C_0402_1005Metric,161.534136,-54.8158,180.0,bottom
C27,4.7uF,C_0402_1005Metric,161.934136,-82.4158,0.0,bottom
C28,10uF,C_0402_1005Metric,165.584136,-89.8158,180.0,bottom
C3,10uF,C_0402_1005Metric,136.334136,-89.0158,0.0,bottom
C4,10uF,C_0402_1005Metric,136.334136,-87.8158,0.0,bottom
C5,100nF,C_0402_1005Metric,145.324136,-66.1358,0.0,bottom
C6,100nF,C_0402_1005Metric,143.084136,-76.8158,0.0,bottom
C7,1uF,C_0402_1005Metric,151.534136,-79.2158,270.0,bottom
C8,100nF,C_0402_1005Metric,140.534136,-73.0158,0.0,bottom
C9,1uF,C_0402_1005Metric,156.854136,-54.2158,0.0,bottom
D1,DIODE,D_SOD-123,20.544136,-43.1458,180.0,bottom
D10,DIODE,D_SOD-123,41.846636,-123.3458,180.0,bottom
D11,DIODE,D_SOD-123,67.546636,-53.3258,180.0,bottom
D12,DIODE,D_SOD-123,65.766636,-73.4758,180.0,bottom
D13,DIODE,D_SOD-123,64.394136,-93.2458,180.0,bottom
D14,DIODE,D_SOD-123,61.626636,-113.5058,180.0,bottom
D15,DIODE,D_SOD-123,70.086636,-133.7458,180.0,bottom
D16,DIODE,D_SOD-123,91.176636,-53.3158,180.0,bottom
D17,DIODE,D_SOD-123,89.656636,-68.6258,180.0,bottom
D18,DIODE,D_SOD-123,85.994136,-88.3658,180.0,bottom
D19,DIODE,D_SOD-123,82.736636,-108.0758,180.0,bottom
D2,DIODE,D_SOD-123,20.544136,-63.3958,180.0,bottom
D20,DIODE,D_SOD-123,93.184136,-135.4558,180.0,bottom
D21,DIODE,D_SOD-123,110.576636,-56.9658,180.0,bottom
D22,DIODE,D_SOD-123,108.126636,-76.2858,180.0,bottom
D23,DIODE,D_SOD-123,104.266636,-95.9958,180.0,bottom
D24,DIODE,D_SOD-123,100.726636,-115.6758,180.0,bottom
D25,DIODE,D_SOD-123,113.156636,-141.7558,180.0,bottom
D26,DIODE,D_SOD-123,129.854136,-61.7258,180.0,bottom
D27,DIODE,D_SOD-123,125.584136,-81.4558,180.0,bottom
D28,DIODE,D_SOD-123,124.254136,-101.2358,180.0,bottom
D29,DIODE,D_SOD-123,120.656636,-120.9558,180.0,bottom
D3,DIODE,D_SOD-123,20.544136,-83.3858,180.0,bottom
D30,DIODE,D_SOD-123,132.214136,-154.9258,180.0,bottom
D31,DIODE,D_SOD-123,163.004136,-154.4458,90.0,bottom
D33,DIODE,D_SOD-123,186.834136,-72.5258,180.0,bottom
D34,DIODE,D_SOD-123,190.224136,-92.5658,180.0,bottom
D35,DIODE,D_SOD-123,194.624136,-113.7158,180.0,bottom
D36,DIODE,D_SOD-123,197.526636,-131.4758,180.0,bottom
D37,DIODE,D_SOD-123,180.046636,-143.2958,180.0,bottom
D38,DIODE,D_SOD-123,204.946636,-67.5958,180.0,bottom
D39,DIODE,D_SOD-123,208.744136,-84.8158,180.0,bottom
D4,DIODE,D_SOD-123,20.544136,-103.3858,180.0,bottom
D40,DIODE,D_SOD-123,212.856636,-108.2558,180.0,bottom
D41,DIODE,D_SOD-123,216.476636,-128.1058,180.0,bottom
D42,DIODE,D_SOD-123,203.964136,-134.4358,180.0,bottom
D43,DIODE,D_SOD-123,225.986636,-61.0358,180.0,bottom
D44,DIODE,D_SOD-123,229.404136,-80.7258,180.0,bottom
D45,DIODE,D_SOD-123,232.814136,-100.2758,180.0,bottom
D46,DIODE,D_SOD-123,233.824136,-120.2658,180.0,bottom
D47,DIODE,D_SOD-123,224.974136,-131.005799,180.0,bottom
D48,DIODE,D_SOD-123,252.186636,-52.2258,180.0,bottom
D49,DIODE,D_SOD-123,254.136636,-72.3258,180.0,bottom
D5,DIODE,D_SOD-123,20.544136,-123.3958,180.0,bottom
D50,DIODE,D_SOD-123,255.856636,-92.1558,180.0,bottom
D51,DIODE,D_SOD-123,257.524136,-112.4458,180.0,bottom
